Feature,Low_Mean,Low_SD,Mod_Mean,Mod_SD,High_Mean,High_SD,p_L_vs_M,p_L_vs_H,p_M_vs_H
head_scaley_acc_std,116.95855994551086,142.49972061609105,105.37129445363034,43.377667122009214,120.82946467871072,106.93935931918689,0.03789151995867268,0.6918277799762091,0.0031703965728508976
head_motion_mag_vel_rms,5.170606641156862,17.759525143315617,3.865905222351651,1.9492324635938734,4.67369502710214,5.855095895753291,0.04524832732816597,0.6360733384598783,0.30364170638664045
head_motion_mag_vel_mean,0.0012627758711471339,0.046575151660044056,0.001875019859104687,0.020325744306756537,0.003375538456245655,0.051041524402423655,0.9597812200737326,0.6148462396366001,0.7822436685343575
head_motion_mag_vel_std,5.170560605735238,17.759477443615523,3.865857002152461,1.9492213269014032,4.673630998024839,5.8549238903352405,0.04524673134378754,0.6360501863633431,0.3036528553620924
head_motion_mag_acc_rms,155.12258304047015,650.5608044455056,103.41133754920067,48.58701626598663,133.91571526044072,225.9958850105555,0.030793691408603996,0.5541468949745884,0.29576704834352363
head_motion_mag_acc_mean,-0.46409385484732996,5.0305611394214065,0.058850500417545235,0.43684633028549497,-0.3555967615134122,3.368370359586017,0.00819758829916628,0.810659152223956,0.04843045450308381
head_motion_mag_acc_std,155.11945862867873,650.5419344313433,103.41066380277579,48.586449797808584,133.91166280900126,225.97291927442586,0.030796690867888055,0.5540966583983014,0.29582265071342306
blink_aperture_vel_rms,0.3188669024307135,0.10575148377945279,0.3263374888742177,0.1060579348366849,0.33405768843114514,0.10688951992367117,0.00037489755569286576,3.957933980558437e-11,0.00022689843469059223
blink_aperture_vel_mean,-9.867636309111761e-05,0.0009203263429593265,-1.9904533640603394e-05,0.001108231985682877,-4.509573234240181e-05,0.0014367097645323758,0.4233815346555838,0.6724155779390079,0.9157789627310089
blink_aperture_vel_std,0.3188655839858718,0.1057513345428252,0.326335629363933,0.10605786979150902,0.33405534770933903,0.10688718876407917,0.00037501718683996543,3.957945082788683e-11,0.00022693788059757747
blink_aperture_acc_rms,8.770519825360315,2.786499268745939,8.854334878544217,2.732576477042054,9.068761546073086,2.823865884210721,0.28393186930556624,2.487155755792614e-07,0.00032850980612597613
blink_aperture_acc_mean,-0.008684694876252088,0.027059379337308422,-0.009266459699942614,0.02761142311791122,-0.009111171445957508,0.032594693285815726,0.7250354692689931,0.8418074137533306,0.9773779948654471
blink_aperture_acc_std,8.770480260773631,2.786478762454531,8.854293368865866,2.732555963310293,9.068710434021984,2.82382573830268,0.2839364331888684,2.4887618488289576e-07,0.00032865379881374945
mouth_aperture_vel_rms,0.12852373044915008,0.05529952593853279,0.1235046627958734,0.04082309342727566,0.13242968293106414,0.052302008499002545,0.012905633088046597,0.07158153881210794,1.6267227295196918e-06
mouth_aperture_vel_mean,-1.4732289601091941e-06,0.00042507123422997256,-2.3263938735433805e-06,0.00036480997256832894,-1.7775977098706177e-05,0.0004729022725470325,0.9992449602251295,0.7603143850739948,0.7816801367589257
mouth_aperture_vel_std,0.12852324750012714,0.05529901776782589,0.12350430051476408,0.04082255952712088,0.13242909203406109,0.05230135987993729,0.012907407791685754,0.07158888148380427,1.627464043418847e-06
mouth_aperture_acc_rms,4.79524435874906,1.5796949420670725,4.655648666911077,1.1552265564612725,4.925001444012959,1.5359144782303467,0.02306108067667234,0.03896245529079212,1.2877541437639195e-06
mouth_aperture_acc_mean,4.738916734131907e-05,0.00378745127755323,8.341702558431454e-05,0.003635014816754965,-0.00012124119802342445,0.0050319456590272775,0.9862097023010115,0.7391935368362522,0.6406940599600461
